id,k,np
p1344,0.125,201
p1345,0.125,202
p1346,0.125,203
p1347,0.125,204
p1348,0.125,205
p1349,0.125,206
p1350,0.125,207
p1351,0.125,208
p1352,0.125,209
p1353,0.125,210
p1354,0.125,211
p1355,0.125,212
p1356,0.125,213
p1357,0.125,214
p1358,0.125,215
p1359,0.125,216
p1360,0.125,217
p1361,0.125,218
p1362,0.125,219
p1363,0.125,220
p1364,0.125,221
p1365,0.125,222
p1366,0.125,223
p1367,0.125,224
p1368,0.125,225
p1369,0.125,226
p1370,0.125,227
p1371,0.125,228
p1372,0.125,229
p1373,0.125,230
p1374,0.15000000000000002,2
p1375,0.15000000000000002,3
p1376,0.15000000000000002,4
p1377,0.15000000000000002,5
p1378,0.15000000000000002,6
