id,k,np
p1333,0.1,45
p1334,0.1,46
p1335,0.1,47
p1336,0.1,48
p1337,0.1,49
p1338,0.1,50
p1339,0.1,51
p1340,0.1,52
p1341,0.1,53
p1342,0.1,54
p1343,0.1,55
p1344,0.1,56
p1345,0.1,57
p1346,0.1,58
p1347,0.1,59
p1348,0.1,60
p1349,0.1,61
p1350,0.1,62
p1351,0.1,63
p1352,0.1,64
p1353,0.1,65
p1354,0.1,66
p1355,0.1,67
p1356,0.1,68
p1357,0.1,69
p1358,0.1,70
p1359,0.1,71
p1360,0.1,72
p1361,0.1,73
p1362,0.1,74
p1363,0.1,75
p1364,0.1,76
p1365,0.1,77
p1366,0.1,78
p1367,0.1,79
p1368,0.1,80
p1369,0.1,81
p1370,0.1,82
p1371,0.1,83
p1372,0.1,84
p1373,0.1,85
p1374,0.1,86
p1375,0.1,87
p1376,0.1,88
p1377,0.1,89
p1378,0.1,90
p1379,0.1,91
p1380,0.1,92
p1381,0.1,93
p1382,0.1,94
p1383,0.1,95
p1384,0.1,96
p1385,0.1,97
p1386,0.1,98
p1387,0.1,99
p1388,0.1,100
p1389,0.1,101
p1390,0.1,102
p1391,0.1,103
p1392,0.1,104
p1393,0.1,105
p1394,0.1,106
p1395,0.1,107
p1396,0.1,108
p1397,0.1,109
p1398,0.1,110
p1399,0.1,111
p1400,0.1,112
p1401,0.1,113
p1402,0.1,114
p1403,0.1,115
p1404,0.1,116
p1405,0.1,117
p1406,0.1,118
p1407,0.1,119
p1408,0.1,120
p1409,0.1,121
p1410,0.1,122
p1411,0.1,123
p1412,0.1,124
p1413,0.1,125
p1414,0.1,126
p1415,0.1,127
p1416,0.1,128
p1417,0.1,129
p1418,0.1,130
p1419,0.11,2
p1420,0.11,3
p1421,0.11,4
p1422,0.11,5
p1423,0.11,6
p1424,0.11,7
p1425,0.11,8
p1426,0.11,9
p1427,0.11,10
p1428,0.11,11
p1429,0.11,12
p1430,0.11,13
p1431,0.11,14
p1432,0.11,15
p1433,0.11,16
p1434,0.11,17
p1435,0.11,18
p1436,0.11,19
p1437,0.11,20
p1438,0.11,21
p1439,0.11,22
p1440,0.11,23
p1441,0.11,24
p1442,0.11,25
p1443,0.11,26
p1444,0.11,27
p1445,0.11,28
p1446,0.11,29
p1447,0.11,30
p1448,0.11,31
p1449,0.11,32
p1450,0.11,33
p1451,0.11,34
p1452,0.11,35
p1453,0.11,36
p1454,0.11,37
p1455,0.11,38
p1456,0.11,39
p1457,0.11,40
p1458,0.11,41
p1459,0.11,42
p1460,0.11,43
p1461,0.11,44
p1462,0.11,45
p1463,0.11,46
p1464,0.11,47
p1465,0.11,48
p1466,0.11,49
p1467,0.11,50
p1468,0.11,51
p1469,0.11,52
p1470,0.11,53
p1471,0.11,54
p1472,0.11,55
p1473,0.11,56
p1474,0.11,57
p1475,0.11,58
p1476,0.11,59
p1477,0.11,60
p1478,0.11,61
p1479,0.11,62
p1480,0.11,63
p1481,0.11,64
p1482,0.11,65
p1483,0.11,66
p1484,0.11,67
p1485,0.11,68
p1486,0.11,69
p1487,0.11,70
p1488,0.11,71
p1489,0.11,72
p1490,0.11,73
p1491,0.11,74
p1492,0.11,75
p1493,0.11,76
p1494,0.11,77
p1495,0.11,78
